id;user_id;prop_firm_id;action_type;status;request_payload;response_payload;error_message;execution_time_ms;ip_address;created_at
9f74ca53-b0f7-43fd-a2cc-a6a918467551;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;79;;2026-01-06 14:06:48.072555+00
c09314b5-a31a-407f-99b8-b7c4646d7c0c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;245;;2026-01-06 14:30:03.001531+00
27a2bd3a-1a11-4fe4-ae16-c309a87cfab9;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;401;;2026-01-06 15:00:05.818423+00
fdd646b1-2c07-40c5-8afa-9dd7d19d3f24;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;128;;2026-01-06 15:30:06.16643+00
f2f1928d-eee1-4f27-865a-06087794c006;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;62;;2026-01-06 16:00:16.472195+00
4697fde3-fd48-4490-b455-c4bdf307e868;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;142;;2026-01-06 16:30:07.903956+00
554bd32a-b4d1-45b5-86f7-628873c98273;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;87;;2026-01-06 17:00:12.019976+00
92a9790d-b240-4fea-aaf2-9fb03ee008b3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;306;;2026-01-06 17:30:03.784347+00
eff3aa17-69f7-4fe9-b8c9-dd000a0852be;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;602;;2026-01-06 18:00:06.552597+00
327e36e8-4d65-4b76-b24b-6694f37514fe;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;212;;2026-01-06 18:30:03.689639+00
6bf5feae-b06f-48d9-a990-8bd7bc1d8e6b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;118;;2026-01-06 19:00:08.862997+00
f1683c1f-2e33-4678-ac4f-6192fa02c2d1;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;86;;2026-01-06 19:30:08.559517+00
afb0df58-b8c5-4b7f-b555-75e802380995;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;100;;2026-01-06 20:00:05.316689+00
0771010b-2b85-4afb-9829-5ed1bb2a08d6;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;151;;2026-01-06 20:30:03.503604+00
7a3a51de-81fb-47e2-ab14-4c8a95f2336f;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;110;;2026-01-06 21:00:05.042253+00
625be79e-1996-4755-ba58-ac779b0f768a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;74;;2026-01-06 21:30:05.187078+00
65ba196a-6c6a-49f1-91af-178bcd74b933;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;80;;2026-01-06 22:00:04.200769+00
dcb6661a-cebd-480f-94aa-1d99ab532bc9;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;211;;2026-01-06 22:30:03.575188+00
47db1e09-c27a-4e63-8688-7a13dcecfb35;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;114;;2026-01-06 23:00:03.704453+00
67937819-2e80-49b2-930f-7d0f79ae1e3a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;193;;2026-01-06 23:30:03.260122+00
7e6c5778-6abd-4d34-a9bb-674125697331;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;65;;2026-01-07 00:00:04.391765+00
f6ee5eec-aef6-48e5-a724-5f36f295ccce;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;68;;2026-01-07 00:30:05.559568+00
5f1df986-f87a-496f-8703-6823c583de63;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;64;;2026-01-07 01:00:05.168374+00
dfb96a43-5f97-4e9b-b526-ed02b5462bb5;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;364;;2026-01-07 01:30:04.133907+00
3eabd6a8-7152-4e8e-ade2-315b124c77a7;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;138;;2026-01-07 02:00:04.156541+00
1eaa5359-5d55-4c63-9c53-8268cd1ffcf2;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;115;;2026-01-07 02:30:03.141485+00
6257cfa2-4a7d-4a87-b44d-5d9219d09707;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;64;;2026-01-07 03:00:07.897461+00
91f0f3f9-1bd7-415a-8999-65cf81844843;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;50;;2026-01-07 03:30:04.798556+00
197489b3-48bf-4f6b-bf11-a8f45c86a94f;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;76;;2026-01-07 04:00:07.12787+00
7d2ba5e8-18d5-49d4-8f13-ea49862dde50;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;66;;2026-01-07 04:30:04.77445+00
18ab4686-e4b9-406c-9a13-ee68b7e1f33a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;256;;2026-01-07 05:00:04.647169+00
2c0c144a-8f2a-4c01-9420-2d92bc0b20f6;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;auto_sync;error;"{""login"":""11290293"",""server"":""FundingPips Corp (2)""}";;No password available for account;68;;2026-01-07 05:30:03.90495+00
