id;city_name;delivery_fee;is_free;is_active;is_fallback;created_at;updated_at
3bdad6ca-f521-4dda-a66f-42f5d9c38b70;Adama (Nazrit);0;true;true;false;2026-01-01 07:16:06.272312+00;2026-01-01 07:16:06.272312+00
c09d05b1-4a43-49c8-adde-71cfd1c59f6d;Addis Ababa;2;false;true;false;2026-01-01 07:16:06.272312+00;2026-01-01 08:16:12.318473+00
a6918f77-15d3-4776-bb6f-075444dca491;Dire Dawa;2.2;false;true;false;2026-01-01 07:16:06.272312+00;2026-01-01 08:16:25.289497+00
b149105d-c1f5-40fc-b8d9-ccd760fe0798;Harar;2.2;false;true;false;2026-01-01 07:16:06.272312+00;2026-01-01 08:16:33.058091+00
570ff9c5-5fac-473a-9d14-ba1429987cf5;Jigjiga;2.2;false;true;false;2026-01-01 07:16:06.272312+00;2026-01-01 08:16:40.112858+00
1ca4fb56-b679-4706-a806-48464ee3ee16;Jimma;2.2;false;true;false;2026-01-01 07:16:06.272312+00;2026-01-01 08:16:47.288019+00
eb27311e-c0a1-45d1-9a4e-df2a108eb5f6;Other Cities;2.5;false;true;true;2026-01-01 07:16:06.272312+00;2026-01-01 08:17:02.338006+00
