id;telegram_chat_id;telegram_username;current_ticket_id;session_state;selected_category;created_at;updated_at
67ba7762-2431-4cc9-b21f-762c7dd2f40c;1373141959;not_zabr;;selecting_category;;2025-12-19 13:27:22.887995+00;2025-12-19 13:27:22.838+00
b13673a5-8871-4677-9ef6-a6f1712f6ea5;5257818948;Hamzloon;;selecting_category;;2025-12-19 15:37:31.27462+00;2025-12-19 15:37:31.203+00
7b77b7f5-c2de-4cc1-9f77-824d0341fddd;5543308273;SOOUMER1;;awaiting_message;cat_certificate;2025-12-19 13:18:47.946694+00;2025-12-20 06:34:14.576+00
f200fd1a-1825-4bb3-b8f5-6a68a8f23abd;6540671391;SONEJTRADER;;idle;cat_other;2025-12-19 15:15:21.272245+00;2025-12-20 07:12:09.293+00
