id;prop_firm_id;user_id;cycle_number;starting_balance;ending_balance;withdrawn_amount;profit_target;max_drawdown_percentage;status;start_date;end_date;payout_proof_url;notes;migration_note;created_at;updated_at
6c035233-fb3a-4e61-a33a-c03369afdc07;22227d9c-c35e-434f-9d84-9e645b881dca;f8d5e773-25dc-47b2-a73d-82f4491f71fe;1;5000.00;;0;400.00;;active;2025-12-29 08:28:43.152381+00;;;;Cycle created during migration. Starting balance estimated from current balance.;2025-12-29 08:28:43.152381+00;2025-12-29 08:28:43.152381+00
b5455593-1fe1-4e7a-b1c4-f6e4b934a161;c0315101-261f-492b-a27f-3852e8897df6;f8d5e773-25dc-47b2-a73d-82f4491f71fe;1;5000.00;;0;400.00;;active;2025-12-29 08:28:43.152381+00;;;;Cycle created during migration. Starting balance estimated from current balance.;2025-12-29 08:28:43.152381+00;2025-12-29 08:28:43.152381+00
d7ff5064-b387-40a4-9771-696380af1948;cb6a5ad3-6df7-4628-b4bc-4d1d328b244b;46e358c7-53f0-4be3-858a-a7063f0703f0;1;10000.00;;0;0.00;;active;2025-12-29 08:28:43.152381+00;;;;Cycle created during migration. Starting balance estimated from current balance.;2025-12-29 08:28:43.152381+00;2025-12-29 08:28:43.152381+00
ae35229f-e1d8-4984-9903-d25b3ca97b01;73e779c5-6698-4704-80f0-f2d6c57b18ff;4453cd26-25d0-4b4c-9da1-95e8acee5ce1;1;10000.00;;0;350.00;;active;2025-12-29 08:28:43.152381+00;;;;Cycle created during migration. Starting balance estimated from current balance.;2025-12-29 08:28:43.152381+00;2025-12-29 08:28:43.152381+00
223ab8d4-6b23-4e23-b241-2bb1f1a84d48;290907dc-9cfc-4872-94c1-03e6714b35fc;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;1;5000.00;5126.93;1;125.00;;closed;2025-12-29 08:28:43.152381+00;2025-12-29 08:43:46.916074+00;;;Cycle created during migration. Starting balance estimated from current balance.;2025-12-29 08:28:43.152381+00;2025-12-29 08:43:46.916074+00
5ade7318-c7e8-40d1-8ca9-1121fd9f0a00;290907dc-9cfc-4872-94c1-03e6714b35fc;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2;5000.00;;0;125.00;;active;2025-12-29 08:43:46.916074+00;;;;;2025-12-29 08:43:46.916074+00;2025-12-29 08:43:46.916074+00
805c64b6-85d0-45c8-b557-163f7491fa3f;7ca3c91b-c00f-4eb4-8c39-ca95dad2f546;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;1;2500.00;2578.90;78.9;120.00;;closed;2025-12-29 08:28:43.152381+00;2025-12-29 08:47:34.165911+00;https://bduwtkejrfmcggfwniqe.supabase.co/storage/v1/object/public/prop-firm-screenshots/729edbb5-3a37-4b62-b20b-2480dc5c7b2a/payout-proof-1766997934488.jpg;;Cycle created during migration. Starting balance estimated from current balance.;2025-12-29 08:28:43.152381+00;2025-12-29 08:47:34.165911+00
26e6ed27-f0e9-470e-9c41-b0e8e081d94b;7ca3c91b-c00f-4eb4-8c39-ca95dad2f546;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2;2500.00;;0;120.00;;active;2025-12-29 08:47:34.165911+00;;;;;2025-12-29 08:47:34.165911+00;2025-12-29 08:47:34.165911+00
29d89312-8442-4594-863e-09837356bc37;958ba7c0-c54e-4b49-a1b5-5d7f59fe194b;616f2a58-669b-4c40-822e-adfef7058906;1;1000;;0;;;active;2026-01-18 14:26:09.335491+00;;;;;2026-01-18 14:26:09.335491+00;2026-01-18 14:26:09.335491+00
