id;order_id;previous_status;new_status;status_type;changed_by;changed_by_type;notes;created_at
6cdbee87-2ab4-4fa4-aa24-a3b4cdd6b23f;2f73bb21-40c6-444d-9b22-cdf6107db322;unpaid;pending;payment;;system;;2026-01-01 07:18:08.917146+00
31d2b9c9-af0b-4e4f-be90-25b87f13ec68;2f73bb21-40c6-444d-9b22-cdf6107db322;Pending;Rejected;order;;system;;2026-01-01 10:17:44.377946+00
174eb310-9ba2-48d5-93ba-aacb47197721;2f73bb21-40c6-444d-9b22-cdf6107db322;pending;rejected;payment;;system;;2026-01-25 06:38:07.316881+00
