id;size_name;dimensions;price;is_active;created_at;updated_at;express_surcharge
f2d93133-0fa9-46d8-9d40-5ba4c7781085;L-SQUAR;15×20cm;57.99;true;2025-12-16 18:40:56.007679+00;2025-12-17 04:40:39.643724+00;12
dccfdf8c-fc9f-4bbd-b943-9fcaf1a3dd4e;L-RECTANGEL;20×20 cm;67.99;true;2025-12-16 18:40:56.007679+00;2025-12-17 04:41:00.524514+00;12
00beabb8-46a2-4a63-b7a4-dcd9ce3b7606;S-SQUAR;15×15cm;37.99;true;2025-12-16 18:40:56.007679+00;2025-12-17 04:42:18.798231+00;7.5
b25baf87-2ef2-45e6-bed5-417ebd5f2806;S-RECTANGLE;13×18cm;47.99;true;2025-12-16 18:40:56.007679+00;2025-12-17 04:42:25.126431+00;7.5
