id;prop_firm_name;certificate_type;size;created_at;updated_at
797322f3-fc0a-4038-9d20-d317dda0de30;FUNDING PIPS;Phase Passing Certificate;15x20 CM;2025-12-20 10:06:00.82081+00;2025-12-20 10:06:00.82081+00
c8ae67dd-b58b-4399-b56f-3173f2259505;FUNDING PIPS;Funded Certificate;20X15 CM;2025-12-20 09:57:57.673597+00;2025-12-20 10:06:24.365032+00
09770d26-baf4-4459-aeaa-dea7a6d0bca9;FUNDING PIPS;Payout Certificate;20X15 CM;2025-12-20 10:06:55.351603+00;2025-12-20 10:06:55.351603+00
2fa7204f-c176-4945-981c-98bee0e7ffce;QUANT TEKEL;Phase Passing Certificate;15X15 CM;2025-12-20 10:08:22.544216+00;2025-12-20 10:08:22.544216+00
4501ac89-8d24-4cd8-a31a-6f6c5c4583f6;QUANT TEKEL;Funded Certificate;20X15 CM;2025-12-20 10:07:30.551222+00;2025-12-20 10:08:29.454572+00
18ee38ce-347b-4ad9-aed6-5804dedf6a6d;QUANT TEKEL;Payout Certificate;15X15 CM;2025-12-20 10:08:48.28592+00;2025-12-20 10:08:48.28592+00
