id;staff_id;telegram_chat_id;telegram_username;role;is_active;linked_at;created_at;updated_at;pending_reply_ticket_id
a9a91c40-1c59-4000-b537-ce34fc79221e;f0fd2e60-b905-47f4-a0d6-a3475f1a93a5;5543308273;;ceo;true;2025-12-19 14:19:19.858+00;2025-12-19 14:19:19.900233+00;2025-12-19 14:19:19.900233+00;
60b91cdd-288c-4a75-af9d-9be15391b2d9;09995ea3-6e2a-4827-852d-c86e1eb5b769;1373141959;;support;true;2025-12-19 14:24:17.547+00;2025-12-19 14:24:17.602459+00;2025-12-19 14:24:17.602459+00;
86bda92a-8469-4be8-9db0-4787f6ff0d43;34bfb150-3c4b-442d-b8ac-3bb6e2414706;5257818948;;support;true;2025-12-19 15:40:30.946+00;2025-12-19 15:38:54.567569+00;2025-12-19 15:38:54.567569+00;
